nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ADRIERS,86001,86,75,698.0,6808.85,86430,218600013.0,0.1025136403357395,86430,86
AMBERRE,86002,86,75,565.0,1585.32,86110,218600021.0,0.3563949234224005,86110,86
ANCHÉ,86003,86,75,324.0,1641.95,86700,218600039.0,0.1973263497670452,86700,86
ANGLES-SUR-L'ANGLIN,86004,86,75,370.0,1462.58,86260,218600047.0,0.2529776148996978,86260,86
ANGLIERS,86005,86,75,612.0,2331.65,86330,218600054.0,0.2624750713014389,86330,86
ANTIGNY,86006,86,75,550.0,4443.16,86310,218600062.0,0.1237857740887116,86310,86
ANTRAN,86007,86,75,1148.0,2369.35,86100,218600070.0,0.4845210711798595,86100,86
ARÇAY,86008,86,75,343.0,1419.66,86200,218600088.0,0.2416071453728357,86200,86
ARCHIGNY,86009,86,75,1058.0,6680.92,86210,218600096.0,0.1583614232770337,86210,86
ASLONNES,86010,86,75,1136.0,2292.95,86340,218600104.0,0.495431649185547,86340,86
ASNIÈRES-SUR-BLOUR,86011,86,75,193.0,3270.84,86430,218600112.0,0.0590062491592373,86430,86
ASNOIS,86012,86,75,129.0,1632.86,86250,218600120.0,0.0790024864348444,86250,86
AULNAY,86013,86,75,107.0,806.41,86330,218600138.0,0.1326868466412867,86330,86
AVAILLES-EN-CHÂTELLERAULT,86014,86,75,1730.0,1549.44,86530,218600146.0,1.1165324246179265,86530,86
AVAILLES-LIMOUZINE,86015,86,75,1312.0,5815.6,86460,218600153.0,0.2256001100488341,86460,86
AVANTON,86016,86,75,2226.0,1079.29,86170,218600161.0,2.062466992189309,86170,86
AYRON,86017,86,75,1085.0,2833.7,86190,218600179.0,0.3828916257896037,86190,86
BASSES,86018,86,75,344.0,1028.23,86200,218600187.0,0.334555498283458,86200,86
BEAUMONT SAINT-CYR,86019,86,75,2908.0,3716.77,8613086490,200064533.0,0.7823997718449084,8613086490,861
BELLEFONDS,86020,86,75,247.0,859.28,86210,218600203.0,0.2874499581044595,86210,86
BERRIE,86022,86,75,251.0,1680.68,86120,218600229.0,0.1493443130161601,86120,86
BERTHEGON,86023,86,75,259.0,1059.9,86420,218600237.0,0.2443626757241249,86420,86
BÉRUGES,86024,86,75,1528.0,3290.11,86190,218600245.0,0.4644221621769485,86190,86
BÉTHINES,86025,86,75,467.0,3756.41,86310,218600252.0,0.1243208275986913,86310,86
BEUXES,86026,86,75,559.0,1126.08,86120,218600260.0,0.4964123330491617,86120,86
BIARD,86027,86,75,1910.0,748.9,86580,218600278.0,2.5504072639871813,86580,86
BIGNOUX,86028,86,75,1087.0,1465.0,86800,218600286.0,0.7419795221843003,86800,86
BLANZAY,86029,86,75,819.0,3560.48,86400,218600294.0,0.2300251651462724,86400,86
BONNES,86031,86,75,1688.0,3487.22,86300,218600310.0,0.4840531999701768,86300,86
BONNEUIL-MATOURS,86032,86,75,2081.0,4291.1,86210,218600328.0,0.4849572370720794,86210,86
BOURESSE,86034,86,75,620.0,3734.13,86410,218600344.0,0.166035997675496,86410,86
BOURG-ARCHAMBAULT,86035,86,75,170.0,2440.47,86390,218600351.0,0.0696587132806385,86390,86
BOURNAND,86036,86,75,914.0,3272.97,86120,218600369.0,0.2792570662120337,86120,86
BRIGUEIL-LE-CHANTRE,86037,86,75,455.0,5439.71,86290,218600377.0,0.0836441648543764,86290,86
BRION,86038,86,75,224.0,1619.45,86160,218600385.0,0.1383185649448887,86160,86
BRUX,86039,86,75,777.0,3609.88,86510,218600393.0,0.2152426119427792,86510,86
LA BUSSIÈRE,86040,86,75,298.0,3234.85,86310,218600401.0,0.0921217367111303,86310,86
BUXEROLLES,86041,86,75,10289.0,912.28,86180,218600419.0,11.278335598719693,86180,86
BUXEUIL,86042,86,75,887.0,1202.61,37160,218600427.0,0.7375624682981183,37160,37
CEAUX-EN-LOUDUN,86044,86,75,560.0,2877.78,86200,218600443.0,0.1945944443286144,86200,86
CELLE-LÉVESCAULT,86045,86,75,1383.0,4281.68,86600,218600450.0,0.3230040544832869,86600,86
CENON-SUR-VIENNE,86046,86,75,1666.0,879.94,86530,218600468.0,1.893310907561879,86530,86
CERNAY,86047,86,75,466.0,331.37,86140,218600476.0,1.406283006910704,86140,86
CHABOURNAY,86048,86,75,1274.0,590.62,86380,218600484.0,2.157055297822627,86380,86
CHALAIS,86049,86,75,465.0,1491.45,86200,218600492.0,0.3117771296389419,86200,86
CHALANDRAY,86050,86,75,784.0,2516.23,86190,218600500.0,0.3115772405543213,86190,86
CHAMPAGNÉ-LE-SEC,86051,86,75,215.0,802.37,86510,218600518.0,0.2679561798172912,86510,86
CHAMPAGNÉ-SAINT-HILAIRE,86052,86,75,998.0,4690.97,86160,218600526.0,0.2127491755436509,86160,86
CHAMPIGNY EN ROCHEREAU,86053,86,75,1878.0,3334.28,86170,200063428.0,0.5632400398286886,86170,86
CHAMPNIERS,86054,86,75,358.0,2012.34,86400,218600542.0,0.1779023425464881,86400,86
LA CHAPELLE-BÂTON,86055,86,75,354.0,2997.39,86250,218600559.0,0.118102749391971,86250,86
LA CHAPELLE-MOULIÈRE,86058,86,75,723.0,1759.75,86210,218600583.0,0.4108538144622816,86210,86
CHAPELLE-VIVIERS,86059,86,75,551.0,1472.6,86300,218600591.0,0.3741681379872335,86300,86
CHARROUX,86061,86,75,1036.0,4464.14,86250,218600617.0,0.232071574816202,86250,86
CHASSENEUIL-DU-POITOU,86062,86,75,4743.0,1756.26,86360,218600625.0,2.700625192169724,86360,86
CHATAIN,86063,86,75,240.0,2223.54,86250,218600633.0,0.1079359939555843,86250,86
