nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
AGEVILLE,52001,52,44,290.0,1967.66,52340,215200015.0,0.1473831861195531,52340,52
AIGREMONT,52002,52,44,23.0,488.63,52400,215200023.0,0.0470703804514663,52400,52
AILLIANVILLE,52003,52,44,148.0,2377.6,52700,215200031.0,0.0622476446837146,52700,52
AINGOULAINCOURT,52004,52,44,11.0,511.27,52230,215200049.0,0.0215150507559606,52230,52
AIZANVILLE,52005,52,44,23.0,351.43,52120,215200056.0,0.0654468884272828,52120,52
ALLICHAMPS,52006,52,44,348.0,270.38,52130,215200064.0,1.287077446556698,52130,52
AMBONVILLE,52007,52,44,82.0,1447.7,52110,215200072.0,0.0566415693859225,52110,52
ANDELOT-BLANCHEVILLE,52008,52,44,799.0,3324.27,52700,215200080.0,0.2403535212242086,52700,52
ANDILLY-EN-BASSIGNY,52009,52,44,108.0,857.14,52360,215204090.0,0.1260004200014,52360,52
ANNÉVILLE-LA-PRAIRIE,52011,52,44,95.0,515.28,52310,215200098.0,0.1843657817109144,52310,52
ANNONVILLE,52012,52,44,28.0,621.78,52230,215200106.0,0.0450320048891891,52230,52
ANROSEY,52013,52,44,121.0,1110.53,52500,215200114.0,0.108956984502895,52500,52
APREY,52014,52,44,187.0,1582.85,52250,215200122.0,0.1181413273525602,52250,52
ARBIGNY-SOUS-VARENNES,52015,52,44,87.0,971.79,52500,215200130.0,0.0895255147717099,52500,52
ARBOT,52016,52,44,60.0,1320.47,52160,215204140.0,0.0454383666421804,52160,52
ARC-EN-BARROIS,52017,52,44,671.0,5038.95,52210,215200148.0,0.133162662856349,52210,52
ARNANCOURT,52019,52,44,78.0,940.36,52110,215200155.0,0.0829469564847505,52110,52
ATTANCOURT,52021,52,44,275.0,1236.12,52130,215200163.0,0.2224703103258583,52130,52
AUBEPIERRE-SUR-AUBE,52022,52,44,180.0,4314.08,52210,215204009.0,0.0417238437859288,52210,52
AUBERIVE,52023,52,44,166.0,7076.27,52160,215200171.0,0.0234586865679234,52160,52
AUDELONCOURT,52025,52,44,77.0,1169.26,52240,215200189.0,0.0658536168174743,52240,52
AUJEURRES,52027,52,44,73.0,1298.86,52190,215200197.0,0.0562031319772723,52190,52
AULNOY-SUR-AUBE,52028,52,44,51.0,941.69,52160,215200205.0,0.0541579500684938,52160,52
AUTIGNY-LE-GRAND,52029,52,44,130.0,355.31,52300,215200213.0,0.3658776842757029,52300,52
AUTIGNY-LE-PETIT,52030,52,44,57.0,251.38,52300,215204124.0,0.2267483491128968,52300,52
AUTREVILLE-SUR-LA-RENNE,52031,52,44,386.0,3158.39,5212052330,215200221.0,0.1222141660782867,5212052330,521
AVRECOURT,52033,52,44,117.0,764.03,52140,200031318.0,0.1531353480884258,52140,52
BAILLY-AUX-FORGES,52034,52,44,127.0,1066.99,52130,215200239.0,0.1190264201164022,52130,52
BAISSEY,52035,52,44,167.0,1000.53,52250,215200247.0,0.1669115368854507,52250,52
BANNES,52037,52,44,360.0,1010.01,52360,215204108.0,0.3564321145335195,52360,52
BASSONCOURT,52038,52,44,62.0,661.26,52240,215200262.0,0.0937603968181955,52240,52
BAUDRECOURT,52039,52,44,84.0,880.38,52110,215200270.0,0.0954133442377155,52110,52
BAY-SUR-AUBE,52040,52,44,45.0,970.81,52160,215200288.0,0.0463530453950824,52160,52
BEAUCHEMIN,52042,52,44,112.0,1211.75,52260,215204272.0,0.0924283061687641,52260,52
BELMONT,52043,52,44,46.0,738.35,52500,215200296.0,0.0623010767251303,52500,52
ROCHES-BETTAINCOURT,52044,52,44,521.0,4145.45,52270,215200304.0,0.1256799623683798,52270,52
BETTANCOURT-LA-FERRÉE,52045,52,44,1802.0,509.16,52100,215200312.0,3.539162542226412,52100,52
BEURVILLE,52047,52,44,102.0,2300.81,52110,215200320.0,0.0443322134378762,52110,52
BIESLES,52050,52,44,1342.0,2411.75,52340,215200338.0,0.556442417331813,52340,52
