nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
LES ABRETS EN DAUPHINÉ,38001,38,84,6850.0,2762.66,38490,200060127.0,2.479494400324325,38490,38
LES ADRETS,38002,38,84,1079.0,1627.47,38190,213800022.0,0.6629922517772985,38190,38
AGNIN,38003,38,84,1245.0,796.98,38150,213800030.0,1.5621471053225928,38150,38
L'ALBENC,38004,38,84,1255.0,1020.04,38470,213800048.0,1.230343908082036,38470,38
ALLEMOND,38005,38,84,971.0,5663.2,38114,213800055.0,0.1714578330272637,38114,38
ALLEVARD,38006,38,84,3971.0,3509.72,38580,213800063.0,1.1314292878064347,38580,38
AMBEL,38008,38,84,35.0,486.62,38970,213800089.0,0.071924705108709,38970,38
ANJOU,38009,38,84,1031.0,513.03,38150,213800097.0,2.009629066526324,38150,38
ANNOISIN-CHATELANS,38010,38,84,719.0,1337.25,38460,213800105.0,0.5376705926341372,38460,38
ANTHON,38011,38,84,1154.0,908.22,38280,213800113.0,1.270617251326771,38280,38
AOSTE,38012,38,84,2876.0,1001.06,38490,213800121.0,2.8729546680518654,38490,38
APPRIEU,38013,38,84,3615.0,1539.34,38140,213800139.0,2.348409058427638,38140,38
ARTAS,38015,38,84,1799.0,1420.29,38440,213800154.0,1.2666427278935992,38440,38
ASSIEU,38017,38,84,1726.0,1229.83,38150,213800170.0,1.4034460047323614,38150,38
AUBERIVES-EN-ROYANS,38018,38,84,367.0,512.51,38680,213800188.0,0.7160835886129051,38680,38
AUBERIVES-SUR-VARÈZE,38019,38,84,1501.0,704.21,38550,213800196.0,2.131466465968958,38550,38
AURIS,38020,38,84,189.0,1352.77,38142,213800204.0,0.1397133289472711,38142,38
LES AVENIÈRES VEYRINS-THUELLIN,38022,38,84,7698.0,4148.06,38630,200058444.0,1.8558072930478344,38630,38
AVIGNONET,38023,38,84,203.0,901.37,38650,213800238.0,0.2252127317305879,38650,38
LA BALME-LES-GROTTES,38026,38,84,1146.0,1450.33,38390,213800261.0,0.7901649969317328,38390,38
BARRAUX,38027,38,84,2016.0,1125.24,38530,213800279.0,1.791617788205183,38530,38
LA BÂTIE-MONTGASCON,38029,38,84,2035.0,845.56,38110,213800295.0,2.406689058138985,38110,38
BEAUCROISSANT,38030,38,84,1790.0,1121.27,38140,213800303.0,1.5964040775192416,38140,38
BEAUFIN,38031,38,84,19.0,654.3,38970,213800311.0,0.029038667278007,38970,38
BEAUFORT,38032,38,84,573.0,864.75,38270,213800329.0,0.6626192541196878,38270,38
BEAULIEU,38033,38,84,635.0,882.31,38470,213800337.0,0.7197016921490179,38470,38
BEAUREPAIRE,38034,38,84,5010.0,1843.77,38270,213800345.0,2.717258660245041,38270,38
BEAUVOIR-DE-MARC,38035,38,84,1098.0,1138.66,38440,213800352.0,0.9642913600196722,38440,38
BEAUVOIR-EN-ROYANS,38036,38,84,96.0,204.68,38160,213800360.0,0.4690248192300176,38160,38
BELLEGARDE-POUSSIEU,38037,38,84,1007.0,1690.95,38270,213800378.0,0.595523226588604,38270,38
