nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ADAST,65001,65,76,299.0,107.27,65260,216500017.0,2.7873590006525597,65260,65
ADÉ,65002,65,76,856.0,751.16,65100,216500025.0,1.1395707971670483,65100,65
ADERVIELLE-POUCHERGUES,65003,65,76,142.0,914.77,65240,216504837.0,0.155230276462936,65240,65
AGOS-VIDALOS,65004,65,76,391.0,618.49,65400,216500041.0,0.6321848372649518,65400,65
ALLIER,65005,65,76,446.0,374.24,65360,216500058.0,1.191748610517315,65360,65
ANCIZAN,65006,65,76,294.0,4150.69,65440,216500066.0,0.0708315966742879,65440,65
ANDREST,65007,65,76,1340.0,620.86,65390,216500074.0,2.158296556389524,65390,65
ANÈRES,65009,65,76,166.0,262.91,65150,216500090.0,0.631394773876992,65150,65
ANGOS,65010,65,76,230.0,299.97,65690,216500108.0,0.7667433410007667,65690,65
LES ANGLES,65011,65,76,132.0,306.3,65100,216500116.0,0.4309500489715964,65100,65
ANLA,65012,65,76,90.0,283.25,65370,216500124.0,0.3177405119152692,65370,65
ANSOST,65013,65,76,58.0,218.65,65140,216500132.0,0.2652641207409101,65140,65
ANTICHAN,65014,65,76,41.0,118.81,65370,216500140.0,0.3450887972392896,65370,65
ANTIN,65015,65,76,92.0,755.92,65220,216500157.0,0.1217060006349878,65220,65
ANTIST,65016,65,76,189.0,239.19,65200,216500165.0,0.7901668129938543,65200,65
ARAGNOUET,65017,65,76,289.0,10832.94,65170,216500173.0,0.0266778916896059,65170,65
ARBÉOST,65018,65,76,73.0,1516.31,65560,216500181.0,0.0481431897171422,65560,65
ARCIZAC-ADOUR,65019,65,76,614.0,511.86,65360,216500199.0,1.1995467510647442,65360,65
ARCIZAC-EZ-ANGLES,65020,65,76,248.0,193.41,65100,216500207.0,1.2822501421849957,65100,65
ARCIZANS-AVANT,65021,65,76,397.0,1489.63,65400,216500215.0,0.2665091331404443,65400,65
ARCIZANS-DESSUS,65022,65,76,116.0,521.63,65400,216500223.0,0.2223798477848283,65400,65
ARDENGOST,65023,65,76,12.0,586.55,65240,216500231.0,0.0204586139289063,65240,65
ARGELÈS-BAGNÈRES,65024,65,76,103.0,264.39,65200,216500249.0,0.3895760051439162,65200,65
ARGELÈS-GAZOST,65025,65,76,2761.0,308.45,65400,216500256.0,8.951207651159022,65400,65
ARIES-ESPÉNAN,65026,65,76,91.0,560.1,65230,216500264.0,0.1624709873236922,65230,65
ARNÉ,65028,65,76,181.0,833.34,65670,216500280.0,0.2171982624139006,65670,65
ARRAS-EN-LAVEDAN,65029,65,76,501.0,2519.32,65400,216500298.0,0.1988631853039709,65400,65
ARREAU,65031,65,76,725.0,1109.37,65240,216500314.0,0.6535240722211706,65240,65
ARRENS-MARSOUS,65032,65,76,694.0,9917.91,65400,216500322.0,0.069974420013894,65400,65
ARRODETS-EZ-ANGLES,65033,65,76,113.0,463.41,65100,216500330.0,0.2438445437085949,65100,65
ARRODETS,65034,65,76,23.0,95.73,65130,216500348.0,0.2402590619450537,65130,65
ARTAGNAN,65035,65,76,504.0,501.01,65500,216500355.0,1.0059679447516017,65500,65
ARTALENS-SOUIN,65036,65,76,140.0,388.29,65400,216500363.0,0.360555255092843,65400,65
ARTIGUEMY,65037,65,76,87.0,300.15,65130,216500371.0,0.2898550724637681,65130,65
ARTIGUES,65038,65,76,13.0,144.43,65100,216500389.0,0.09000900090009,65100,65
ASPIN-AURE,65039,65,76,43.0,1219.18,65240,216500397.0,0.0352696074410669,65240,65
ASPIN-EN-LAVEDAN,65040,65,76,294.0,172.17,65100,216500405.0,1.707614566997735,65100,65
ASQUE,65041,65,76,123.0,1581.2,65130,216500413.0,0.0777890209967113,65130,65
ASTÉ,65042,65,76,568.0,2618.22,65200,216500421.0,0.216941280717434,65200,65
ASTUGUE,65043,65,76,263.0,799.48,65200,216500439.0,0.3289638264872166,65200,65
AUBARÈDE,65044,65,76,283.0,487.91,65350,216500447.0,0.5800250046115062,65350,65
AUCUN,65045,65,76,267.0,1303.73,65400,216500454.0,0.2047970055149455,65400,65
AULON,65046,65,76,99.0,2865.39,65240,216500462.0,0.0345502706437867,65240,65
AUREILHAN,65047,65,76,8031.0,954.45,65800,216500470.0,8.414269998428415,65800,65
AURENSAN,65048,65,76,764.0,720.91,65390,216500488.0,1.0597716774632062,65390,65
AURIÉBAT,65049,65,76,241.0,1634.86,65700,216500496.0,0.1474132341607232,65700,65
AVAJAN,65050,65,76,82.0,335.79,65240,216500504.0,0.2442002442002442,65240,65
AVENTIGNAN,65051,65,76,204.0,528.42,65660,216500512.0,0.3860565459293744,65660,65
AVERAN,65052,65,76,86.0,430.06,65380,216500520.0,0.1999720969167093,65380,65
AVEUX,65053,65,76,41.0,306.2,65370,216500538.0,0.1338994121489223,65370,65
AVEZAC-PRAT-LAHITTE,65054,65,76,581.0,1773.58,65130,216500546.0,0.3275860124719494,65130,65
AYROS-ARBOUIX,65055,65,76,349.0,275.15,65400,216500553.0,1.268399055060876,65400,65
AYZAC-OST,65056,65,76,473.0,312.43,65400,216500561.0,1.513939122363409,65400,65
AZEREIX,65057,65,76,992.0,1523.26,65380,216500579.0,0.6512348515683468,65380,65
AZET,65058,65,76,148.0,2681.86,65170,216500587.0,0.0551855801570551,65170,65
BAGNÈRES-DE-BIGORRE,65059,65,76,7114.0,12597.14,6520065710,216500595.0,0.5647313596578272,6520065710,652
BANIOS,65060,65,76,66.0,544.42,65200,216500603.0,0.1212299327724918,65200,65
BARBACHEN,65061,65,76,41.0,306.85,65140,216500611.0,0.1336157731790777,65140,65
BARBAZAN-DEBAT,65062,65,76,3478.0,985.82,65690,216500629.0,3.528027428942403,65690,65
BARBAZAN-DESSUS,65063,65,76,155.0,422.33,65360,216500637.0,0.3670115786233514,65360,65
BAREILLES,65064,65,76,39.0,2113.55,65240,216500645.0,0.0184523668709044,65240,65
BARLEST,65065,65,76,334.0,402.31,65100,216500652.0,0.8302055628744003,65100,65
BARRANCOUEU,65066,65,76,40.0,382.02,65240,216500660.0,0.1047065598659756,65240,65
BARRY,65067,65,76,136.0,262.34,65380,216500678.0,0.5184112220782191,65380,65
BARTHE,65068,65,76,25.0,137.14,65230,216500686.0,0.1822954644888435,65230,65
LA BARTHE-DE-NESTE,65069,65,76,1240.0,763.92,65250,216500694.0,1.6232066184940832,65250,65
BARTRÈS,65070,65,76,485.0,736.4,65100,216500702.0,0.6586094513851168,65100,65
BATSÈRE,65071,65,76,42.0,231.3,65130,216500710.0,0.1815823605706874,65130,65
BAZET,65072,65,76,1858.0,286.52,65460,216500728.0,6.484713109032529,65460,65
BAZILLAC,65073,65,76,373.0,1032.97,65140,216500736.0,0.3610947074939252,65140,65
BAZORDAN,65074,65,76,111.0,932.04,65670,216500744.0,0.1190936011329985,65670,65
BAZUS-AURE,65075,65,76,147.0,192.18,65170,216500751.0,0.7649078988448329,65170,65
BAZUS-NESTE,65076,65,76,39.0,248.87,65250,216500769.0,0.1567083216136938,65250,65
BEAUCENS,65077,65,76,413.0,3689.21,65400,216500777.0,0.1119480864466918,65400,65
