nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
L'AJOUPA-BOUILLON,97201,972,2,1682.0,1237.18,97216,219722014.0,1.359543477909439,97216,972
LES ANSES-D'ARLET,97202,972,2,3912.0,2588.33,97217,219722022.0,1.511399241982282,97217,972
BASSE-POINTE,97203,972,2,2852.0,2793.24,97218,219722030.0,1.0210365024129686,97218,972
LE CARBET,97204,972,2,3721.0,1789.74,97221,219722048.0,2.079072937968644,97221,972
CASE-PILOTE,97205,972,2,4537.0,1857.2,97222,219722055.0,2.442924833082059,97222,972
LE DIAMANT,97206,972,2,6161.0,2750.72,97223,219722063.0,2.239777221963704,97223,972
DUCOS,97207,972,2,18105.0,2878.95,97224,219722071.0,6.288751107174491,97224,972
FONDS-SAINT-DENIS,97208,972,2,640.0,2378.95,97250,219722089.0,0.2690262510771559,97250,972
FORT-DE-FRANCE,97209,972,2,75506.0,4403.76,9720097234,219722097.0,17.145802677711774,9720097234,972
LE FRANÇOIS,97210,972,2,15778.0,5443.42,97240,219722105.0,2.898545399767058,97240,972
GRAND'RIVIÈRE,97211,972,2,487.0,1669.3,97218,219722113.0,0.2917390522973702,97218,972
GROS-MORNE,97212,972,2,9610.0,4627.46,97213,219722121.0,2.076733240265718,97213,972
LE LAMENTIN,97213,972,2,39400.0,6273.15,97232,219722139.0,6.28073615328822,97232,972
LE LORRAIN,97214,972,2,6566.0,5049.31,97214,219722147.0,1.3003756948969265,97214,972
MACOUBA,97215,972,2,987.0,1695.48,97218,219722154.0,0.5821360322740463,97218,972
LE MARIGOT,97216,972,2,2948.0,2176.73,97225,219722162.0,1.3543250655800214,97225,972
LE MARIN,97217,972,2,8486.0,3179.64,97290,219722170.0,2.668855593715012,97290,972
LE MORNE-ROUGE,97218,972,2,4388.0,3768.01,97260,219722188.0,1.164540433809889,97260,972
LE PRÊCHEUR,97219,972,2,1479.0,2994.18,97250,219722196.0,0.4939582790613791,97250,972
RIVIÈRE-PILOTE,97220,972,2,11604.0,3597.03,97211,219722204.0,3.225994779026029,97211,972
RIVIÈRE-SALÉE,97221,972,2,11829.0,3976.65,97215,219722212.0,2.9746143110407,97215,972
LE ROBERT,97222,972,2,21553.0,4514.12,97231,219722220.0,4.77457400334949,97231,972
SAINT-ESPRIT,97223,972,2,10322.0,2332.04,97270,219722238.0,4.426167647210168,97270,972
SAINT-JOSEPH,97224,972,2,16258.0,4357.82,97212,219722246.0,3.730764464801208,97212,972
SAINT-PIERRE,97225,972,2,3961.0,3869.43,97250,219722253.0,1.023664984248326,97250,972
SAINTE-ANNE,97226,972,2,4306.0,3880.4,97227,219722261.0,1.1096794144933513,97227,972
SAINTE-LUCE,97227,972,2,9410.0,2811.49,97228,219722279.0,3.346979715382236,97228,972
SAINTE-MARIE,97228,972,2,14756.0,4465.39,97230,219722287.0,3.304526592302128,97230,972
SCHŒLCHER,97229,972,2,19478.0,2130.25,97233,219722295.0,9.143527754958338,97233,972
LA TRINITÉ,97230,972,2,11454.0,4602.16,97220,219722303.0,2.4888313313748327,97220,972
LES TROIS-ÎLETS,97231,972,2,6507.0,2768.1,97229,219722311.0,2.3507098731982228,97229,972
LE VAUCLIN,97232,972,2,8483.0,3890.81,97280,219722329.0,2.180265805834775,97280,972
LE MORNE-VERT,97233,972,2,1718.0,1337.79,97226,219722337.0,1.2842075363098842,97226,972
BELLEFONTAINE,97234,972,2,1746.0,1196.57,97222,219722345.0,1.459170796526739,97222,972
