nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ABRIÈS-RISTOLAS,05001,05,93,374.0,16110.96,5460,200083517.0,0.0232140108348602,5460,5
AIGUILLES,05003,05,93,369.0,4061.31,5470,210500039.0,0.090857383455092,5470,5
ANCELLE,05004,05,93,1017.0,5108.33,5260,210500047.0,0.1990865899423099,5260,5
L'ARGENTIÈRE-LA-BESSÉE,05006,05,93,2288.0,6529.08,5120,210500062.0,0.350432220159655,5120,5
ARVIEUX,05007,05,93,340.0,7321.57,5350,210500070.0,0.0464381273415401,5350,5
ASPREMONT,05008,05,93,364.0,1867.25,5140,210500088.0,0.1949390815370197,5140,5
ASPRES-LÈS-CORPS,05009,05,93,102.0,1656.37,5800,210500096.0,0.0615804439829265,5800,5
ASPRES-SUR-BUËCH,05010,05,93,828.0,4262.0,5140,210500104.0,0.1942749882684185,5140,5
AVANÇON,05011,05,93,415.0,2237.14,5230,210500112.0,0.1855047069025631,5230,5
BARATIER,05012,05,93,648.0,1586.12,5200,210500120.0,0.408544120243109,5200,5
BARCILLONNETTE,05013,05,93,148.0,1970.65,5110,210500138.0,0.0751021236647806,5110,5
BARRET-SUR-MÉOUGE,05014,05,93,193.0,2631.57,5300,210500146.0,0.0733402493568478,5300,5
LA BÂTIE-MONTSALÉON,05016,05,93,304.0,1505.35,5700,210500161.0,0.2019463912047032,5700,5
LA BÂTIE-NEUVE,05017,05,93,2628.0,2749.36,5230,210500179.0,0.9558588180522012,5230,5
LA BÂTIE-VIEILLE,05018,05,93,340.0,910.07,5000,210500187.0,0.3735976353467315,5000,5
LA BEAUME,05019,05,93,153.0,2965.42,5140,210500195.0,0.0515947150825178,5140,5
LE BERSAC,05021,05,93,146.0,803.27,5700,210500211.0,0.1817570679846128,5700,5
BRÉZIERS,05022,05,93,229.0,3060.67,5190,210500229.0,0.0748202191023534,5190,5
BRIANÇON,05023,05,93,11411.0,2830.2,5100,210500237.0,4.03187053918451,5100,5
