nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
AGUTS,81001,81,76,238.0,983.1,81470,218100014.0,0.2420913437086766,81470,81
AIGUEFONDE,81002,81,76,2505.0,1904.1,81200,218100022.0,1.3155821648022687,81200,81
ALBAN,81003,81,76,964.0,979.95,81250,218100030.0,0.983723659370376,81250,81
ALBI,81004,81,76,51290.0,4495.38,81000,218100048.0,11.40949152240745,81000,81
ALBINE,81005,81,76,512.0,1713.2,81240,218100055.0,0.2988559420966612,81240,81
ALGANS,81006,81,76,223.0,1445.14,81470,218100063.0,0.1543103090358027,81470,81
ALOS,81007,81,76,93.0,644.03,81140,218100071.0,0.144403211030542,81140,81
ALMAYRAC,81008,81,76,293.0,1096.07,81190,218100089.0,0.2673186931491602,81190,81
AMARENS,81009,81,76,61.0,481.98,81170,218100097.0,0.1265612681024109,81170,81
AMBIALET,81010,81,76,471.0,3026.63,81430,218100105.0,0.1556186253357694,81430,81
AMBRES,81011,81,76,1033.0,1909.39,81500,218100113.0,0.5410104797867381,81500,81
ANDILLAC,81012,81,76,127.0,543.1,81140,218100121.0,0.2338427545571718,81140,81
ANDOUQUE,81013,81,76,383.0,2653.87,81350,218100139.0,0.1443175438133744,81350,81
ANGLÈS,81014,81,76,515.0,8597.74,81260,218100147.0,0.0598994619516291,81260,81
APPELLE,81015,81,76,66.0,379.94,81700,218100154.0,0.1737116386797915,81700,81
ARFONS,81016,81,76,188.0,4060.12,81110,218100162.0,0.0463040501265972,81110,81
ARIFAT,81017,81,76,128.0,2022.67,81360,218100170.0,0.0632826907009052,81360,81
ARTHÈS,81018,81,76,2528.0,1009.95,81160,218100188.0,2.5030942125847813,81160,81
ASSAC,81019,81,76,151.0,1516.34,81340,218100196.0,0.0995818879670786,81340,81
AUSSAC,81020,81,76,255.0,610.65,81600,218100204.0,0.4175878162613609,81600,81
AUSSILLON,81021,81,76,5527.0,1025.6,81200,218100212.0,5.3890405616224655,81200,81
BANNIÈRES,81022,81,76,210.0,728.52,81500,218100220.0,0.2882556415746994,81500,81
BARRE,81023,81,76,203.0,1512.78,81320,218100238.0,0.1341900342415949,81320,81
BEAUVAIS-SUR-TESCOU,81024,81,76,379.0,1220.02,81630,218100246.0,0.3106506450713923,81630,81
BELCASTEL,81025,81,76,216.0,1083.63,81500,218100253.0,0.1993300296226571,81500,81
BELLEGARDE-MARSAL,81026,81,76,690.0,1946.83,81430,200054583.0,0.3544223173055685,81430,81
BELLESERRE,81027,81,76,171.0,479.72,81540,218100279.0,0.3564579337947136,81540,81
BERLATS,81028,81,76,119.0,1044.89,81260,218100287.0,0.1138875862530984,81260,81
BERNAC,81029,81,76,186.0,558.51,81150,218100295.0,0.333028952033088,81150,81
BERTRE,81030,81,76,112.0,416.78,81700,218100303.0,0.2687269062814914,81700,81
LE BEZ,81031,81,76,907.0,3248.82,81260,218100311.0,0.2791782862700919,81260,81
BLAN,81032,81,76,1093.0,1344.43,81700,218100329.0,0.8129839411497809,81700,81
BLAYE-LES-MINES,81033,81,76,2902.0,891.01,81400,218100337.0,3.25697803616121,81400,81
BOISSEZON,81034,81,76,398.0,1951.35,81490,218100345.0,0.2039613600840444,81490,81
BOURNAZEL,81035,81,76,223.0,790.99,81170,218100352.0,0.2819251823664015,81170,81
BOUT-DU-PONT-DE-LARN,81036,81,76,1225.0,785.9,81660,218100360.0,1.558722483776562,81660,81
BRASSAC,81037,81,76,1289.0,2371.55,81260,218100378.0,0.5435263856971179,81260,81
BRENS,81038,81,76,2423.0,2275.34,81600,218100386.0,1.0648957957931562,81600,81
BRIATEXTE,81039,81,76,1938.0,1530.22,81390,218100394.0,1.266484557776006,81390,81
BROUSSE,81040,81,76,438.0,1471.43,81440,218100402.0,0.2976696139129962,81440,81
BROZE,81041,81,76,107.0,398.47,81600,218100410.0,0.2685271162195397,81600,81
BURLATS,81042,81,76,1998.0,3252.34,81100,218100428.0,0.6143269153901498,81100,81
BUSQUE,81043,81,76,715.0,852.94,81300,218100436.0,0.8382770183131286,81300,81
CABANÈS,81044,81,76,307.0,885.57,81500,218100444.0,0.3466693767855731,81500,81
LES CABANNES,81045,81,76,379.0,627.87,81170,218100451.0,0.6036281395830347,81170,81
CADALEN,81046,81,76,1547.0,4053.93,81600,218100469.0,0.381605010446653,81600,81
CADIX,81047,81,76,220.0,1823.66,81340,218100477.0,0.1206365221587357,81340,81
CAGNAC-LES-MINES,81048,81,76,2621.0,2481.29,81130,218100485.0,1.056305389535282,81130,81
CAHUZAC,81049,81,76,356.0,563.64,81540,218100493.0,0.6316088283301399,81540,81
CAMBON-LÈS-LAVAUR,81050,81,76,362.0,1216.43,81470,218100501.0,0.2975921343603824,81470,81
CAHUZAC-SUR-VÈRE,81051,81,76,1239.0,3064.43,81140,218100519.0,0.404316626583084,81140,81
CAMBON,81052,81,76,2127.0,778.77,81990,218100527.0,2.731230016564582,81990,81
CAMBOUNÈS,81053,81,76,339.0,2255.35,81260,218100535.0,0.1503092646374177,81260,81
CAMBOUNET-SUR-LE-SOR,81054,81,76,978.0,776.62,81580,218100543.0,1.259303134093894,81580,81
LES CAMMAZES,81055,81,76,398.0,783.45,81540,218100550.0,0.5080094454017486,81540,81
CAMPAGNAC,81056,81,76,157.0,742.19,81140,218100568.0,0.2115361295625109,81140,81
CARBES,81058,81,76,247.0,743.67,81570,218100584.0,0.3321365659499509,81570,81
CARLUS,81059,81,76,664.0,1080.69,81990,218100592.0,0.6144222672551796,81990,81
CARMAUX,81060,81,76,9872.0,1414.25,81400,218100600.0,6.980378292381121,81400,81
CASTANET,81061,81,76,210.0,713.27,81150,218100618.0,0.2944186633392684,81150,81
FONTRIEU,81062,81,76,968.0,10265.1,81260,200055895.0,0.0943001042366854,81260,81
CASTELNAU-DE-LÉVIS,81063,81,76,1603.0,2143.61,81150,218100634.0,0.7478039382163733,81150,81
CASTELNAU-DE-MONTMIRAL,81064,81,76,1062.0,8976.96,81140,218100642.0,0.1183028553095925,81140,81
CASTRES,81065,81,76,42505.0,9847.04,81100,218100659.0,4.316525575198232,81100,81
CAUCALIÈRES,81066,81,76,286.0,1285.24,81200,218100667.0,0.2225265320095857,81200,81
CESTAYROLS,81067,81,76,455.0,1709.74,81150,218100675.0,0.2661223343900242,81150,81
COMBEFA,81068,81,76,206.0,291.2,81640,218100683.0,0.7074175824175825,81640,81
CORDES-SUR-CIEL,81069,81,76,879.0,843.3,81170,218100691.0,1.0423336890786197,81170,81
COUFOULEUX,81070,81,76,3057.0,2717.16,81800,218100709.0,1.1250717661087313,81800,81
COURRIS,81071,81,76,80.0,936.66,81340,218100717.0,0.0854098605684026,81340,81
CRESPIN,81072,81,76,99.0,1414.26,81350,218100725.0,0.0700012727504136,81350,81
CRESPINET,81073,81,76,182.0,912.03,81350,218100733.0,0.1995548392048507,81350,81
CUNAC,81074,81,76,1626.0,638.64,81990,218100741.0,2.546035325065765,81990,81
CUQ,81075,81,76,482.0,1508.73,81570,218100758.0,0.3194739946842708,81570,81
CUQ-TOULZA,81076,81,76,702.0,2321.29,81470,218100766.0,0.3024180520314136,81470,81
CURVALLE,81077,81,76,398.0,3873.05,81250,218100774.0,0.1027613896025096,81250,81
DAMIATTE,81078,81,76,1062.0,3189.19,81220,218100782.0,0.3329999153390046,81220,81
DÉNAT,81079,81,76,864.0,1507.63,81120,218100790.0,0.5730849081007939,81120,81
DONNAZAC,81080,81,76,56.0,476.07,81170,218100808.0,0.1176297603293633,81170,81
DOURGNE,81081,81,76,1313.0,2274.59,81110,218100816.0,0.5772468884502262,81110,81
LE DOURN,81082,81,76,116.0,933.88,81340,218100824.0,0.1242129609799974,81340,81
DURFORT,81083,81,76,258.0,451.14,81540,218100832.0,0.5718845591169038,81540,81
ESCOUSSENS,81084,81,76,614.0,2397.65,81290,218100840.0,0.2560840823306153,81290,81
LACAPELLE-ESCROUX,81085,81,76,48.0,1020.02,81530,218100857.0,0.047057900825474,81530,81
ESPÉRAUSSES,81086,81,76,146.0,1226.86,81260,218100865.0,0.1190029832254699,81260,81
FAYSSAC,81087,81,76,354.0,767.93,81150,218100873.0,0.4609795163621684,81150,81
FAUCH,81088,81,76,619.0,1705.81,81120,218100881.0,0.3628774599750265,81120,81
FAUSSERGUES,81089,81,76,143.0,1490.88,81340,218100899.0,0.0959165056879158,81340,81
FÉNOLS,81090,81,76,244.0,603.87,81600,218100907.0,0.4040604765926441,81600,81
FIAC,81092,81,76,930.0,2530.01,81500,218100923.0,0.3675874798913838,81500,81
FLORENTIN,81093,81,76,762.0,1265.18,81150,218100931.0,0.6022858407499327,81150,81
FRAISSINES,81094,81,76,90.0,639.97,81340,218100949.0,0.1406315921058799,81340,81
FRAUSSEILLES,81095,81,76,75.0,586.49,81170,218100956.0,0.1278794182338999,81170,81
LE FRAYSSE,81096,81,76,421.0,2955.77,81430,218100964.0,0.1424332745781979,81430,81
