nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
L'ALBÈRE,66001,66,76,64.0,1629.16,66480,216600015.0,0.0392840482211691,66480,66
ALÉNYA,66002,66,76,3782.0,572.45,66200,216600023.0,6.6066905406585725,66200,66
AMÉLIE-LES-BAINS-PALALDA,66003,66,76,3529.0,2935.18,66110,216600031.0,1.202311272221806,66110,66
LES ANGLES,66004,66,76,597.0,4338.86,66210,216600049.0,0.1375937458226354,66210,66
ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66005,66,76,542.0,8707.67,66760,216600056.0,0.0622439757133653,66760,66
ANSIGNAN,66006,66,76,164.0,798.36,66220,216600064.0,0.2054211132822285,66220,66
ARBOUSSOLS,66007,66,76,130.0,1406.94,66320,216600072.0,0.0923991072824711,66320,66
ARGELÈS-SUR-MER,66008,66,76,10616.0,5880.7,66700,216600080.0,1.8052272688625504,66700,66
ARLES-SUR-TECH,66009,66,76,2815.0,2885.99,66150,216600098.0,0.9754018551692832,66150,66
AYGUATÉBIA-TALAU,66010,66,76,49.0,2995.93,66360,216600106.0,0.0163555223252879,66360,66
BAGES,66011,66,76,4560.0,1204.66,66670,216600114.0,3.7853004167150894,66670,66
BAHO,66012,66,76,3231.0,774.5,66540,216600122.0,4.171723692704971,66540,66
BAILLESTAVY,66013,66,76,112.0,1781.2,66320,216600130.0,0.0628789580058387,66320,66
BAIXAS,66014,66,76,2777.0,1901.76,66390,216600148.0,1.46022631667508,66390,66
BANYULS-DELS-ASPRES,66015,66,76,1483.0,1069.0,66300,216600155.0,1.3872778297474275,66300,66
BANYULS-SUR-MER,66016,66,76,4496.0,4283.58,66650,216600163.0,1.0495893621690269,66650,66
LE BARCARÈS,66017,66,76,6109.0,1513.78,66420,216600171.0,4.035593018800618,66420,66
LA BASTIDE,66018,66,76,60.0,1546.01,66110,216600189.0,0.0388095807918448,66110,66
BÉLESTA,66019,66,76,270.0,2049.25,66720,216600197.0,0.1317555203123094,66720,66
BOLQUÈRE,66020,66,76,816.0,1790.41,66210,216600205.0,0.4557615294820739,66210,66
BOMPAS,66021,66,76,7832.0,574.74,66430,216600213.0,13.627031353307585,66430,66
BOULE-D'AMONT,66022,66,76,63.0,2340.14,66130,216600221.0,0.0269214662370627,66130,66
BOULETERNÈRE,66023,66,76,951.0,1077.55,66130,216600239.0,0.8825576539371723,66130,66
LE BOULOU,66024,66,76,5487.0,1456.66,66160,216600247.0,3.766836461494103,66160,66
