nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ABBEVILLE,80001,80,32,22395.0,2624.09,80100,218000016.0,8.534387158977017,80100,80
ABLAINCOURT-PRESSOIR,80002,80,32,263.0,951.63,80320,218000024.0,0.2763679161018463,80320,80
ACHEUX-EN-AMIÉNOIS,80003,80,32,590.0,718.17,80560,218000032.0,0.8215325062311153,80560,80
ACHEUX-EN-VIMEU,80004,80,32,501.0,1232.25,80210,218000040.0,0.4065733414485697,80210,80
AGENVILLE,80005,80,32,83.0,329.99,80370,218000057.0,0.2515227734173763,80370,80
AGENVILLERS,80006,80,32,215.0,597.74,80150,218000065.0,0.3596881587312209,80150,80
AIGNEVILLE,80008,80,32,904.0,1077.6,80210,218000073.0,0.8389012620638456,80210,80
AILLY-LE-HAUT-CLOCHER,80009,80,32,1024.0,1085.72,80690,218000081.0,0.9431529307740484,80690,80
AILLY-SUR-NOYE,80010,80,32,2648.0,2537.13,80250,218000099.0,1.0436989827088088,80250,80
AILLY-SUR-SOMME,80011,80,32,3003.0,1510.31,80470,218000107.0,1.9883335209327888,80470,80
AIRAINES,80013,80,32,2204.0,2483.31,80270,218000115.0,0.8875251176856696,80270,80
AIZECOURT-LE-BAS,80014,80,32,69.0,357.87,80240,218000123.0,0.1928074440439265,80240,80
AIZECOURT-LE-HAUT,80015,80,32,66.0,367.64,80200,218000131.0,0.1795234468501795,80200,80
ALBERT,80016,80,32,9521.0,1384.85,80300,218000149.0,6.875112828104127,80300,80
ALLAINES,80017,80,32,419.0,840.2,80200,218000156.0,0.498690787907641,80200,80
ALLENAY,80018,80,32,253.0,219.67,80130,218000164.0,1.1517275913870806,80130,80
ALLERY,80019,80,32,843.0,1307.16,80270,218000172.0,0.644909574956394,80270,80
ALLONVILLE,80020,80,32,778.0,1057.21,80260,218000180.0,0.7358992064017555,80260,80
AMIENS,80021,80,32,136449.0,5040.16,800008008080090,218000198.0,27.07235484587791,800008008080090,800
ANDAINVILLE,80022,80,32,233.0,842.96,80140,218000206.0,0.2764069469488469,80140,80
ANDECHY,80023,80,32,282.0,782.35,80700,218000214.0,0.360452482904071,80700,80
ARGŒUVES,80024,80,32,543.0,1027.29,80470,218000222.0,0.5285751832491312,80470,80
ARGOULES,80025,80,32,322.0,947.67,80120,218000230.0,0.3397807253579832,80120,80
ARGUEL,80026,80,32,31.0,255.32,80140,218000248.0,0.1214162619457935,80140,80
ARMANCOURT,80027,80,32,33.0,216.85,80700,218000255.0,0.1521789255245561,80700,80
ARQUÈVES,80028,80,32,152.0,770.33,80560,218000263.0,0.1973180325315124,80560,80
ARREST,80029,80,32,820.0,1113.19,80820,218000271.0,0.7366217806484068,80820,80
ARRY,80030,80,32,212.0,740.81,80120,218000289.0,0.286173242801798,80120,80
ARVILLERS,80031,80,32,759.0,1277.39,80910,218000297.0,0.5941803208104024,80910,80
ASSAINVILLERS,80032,80,32,136.0,730.89,80500,218000305.0,0.186074511896455,80500,80
ASSEVILLERS,80033,80,32,311.0,552.46,80200,218000313.0,0.5629366831987835,80200,80
ATHIES,80034,80,32,614.0,1081.34,80200,218000321.0,0.5678140085449536,80200,80
AUBERCOURT,80035,80,32,69.0,385.44,80110,218000339.0,0.1790161892901619,80110,80
AUBIGNY,80036,80,32,502.0,968.75,80800,218000347.0,0.5181935483870967,80800,80
AUBVILLERS,80037,80,32,170.0,489.19,80110,218000354.0,0.3475132361659069,80110,80
AUCHONVILLERS,80038,80,32,125.0,572.85,80560,218000362.0,0.218207209566204,80560,80
AULT,80039,80,32,1346.0,597.37,80460,218000370.0,2.253209903409947,80460,80
AUMÂTRE,80040,80,32,170.0,556.98,80140,218000388.0,0.3052174225286365,80140,80
AUMONT,80041,80,32,119.0,332.4,80640,218000396.0,0.3580024067388688,80640,80
AUTHEUX,80042,80,32,120.0,827.06,80600,218000404.0,0.1450922544918144,80600,80
AUTHIE,80043,80,32,246.0,1001.99,80560,218000412.0,0.2455114322498228,80560,80
AUTHIEULE,80044,80,32,393.0,459.44,80600,218000420.0,0.8553891694236462,80600,80
AUTHUILLE,80045,80,32,154.0,357.26,80300,218000438.0,0.4310586127750098,80300,80
AVELESGES,80046,80,32,48.0,490.58,80270,218000446.0,0.0978433690733417,80270,80
AVELUY,80047,80,32,540.0,671.65,80300,218000453.0,0.8039901734534356,80300,80
AVESNES-CHAUSSOY,80048,80,32,63.0,613.76,80140,218000461.0,0.1026459854014598,80140,80
AYENCOURT,80049,80,32,152.0,467.28,80500,218000479.0,0.3252867659647321,80500,80
BACOUEL-SUR-SELLE,80050,80,32,461.0,631.06,80480,218000487.0,0.7305169080594556,80480,80
BAILLEUL,80051,80,32,253.0,1404.7,80490,218000495.0,0.1801096319498825,80490,80
BAIZIEUX,80052,80,32,243.0,511.87,80300,218000503.0,0.4747299118916912,80300,80
BALÂTRE,80053,80,32,78.0,330.6,80700,218000511.0,0.2359346642468239,80700,80
BARLEUX,80054,80,32,233.0,753.51,80200,218000529.0,0.3092195193162665,80200,80
BARLY,80055,80,32,161.0,1166.26,80600,218000537.0,0.1380481196302711,80600,80
BAVELINCOURT,80056,80,32,104.0,772.34,80260,218000545.0,0.1346557215734003,80260,80
BAYENCOURT,80057,80,32,70.0,185.9,80560,218000552.0,0.3765465303926842,80560,80
BAYONVILLERS,80058,80,32,340.0,813.38,80170,218000560.0,0.4180088027736113,80170,80
BAZENTIN,80059,80,32,79.0,514.76,80300,218000578.0,0.153469578055793,80300,80
BÉALCOURT,80060,80,32,126.0,360.1,80370,218000586.0,0.3499028047764509,80370,80
BEAUCAMPS-LE-JEUNE,80061,80,32,207.0,674.73,80430,218000594.0,0.3067893824196345,80430,80
BEAUCAMPS-LE-VIEUX,80062,80,32,1396.0,504.42,80430,218000602.0,2.767534990682368,80430,80
BEAUCHAMPS,80063,80,32,937.0,729.47,80770,218000610.0,1.2844942218322892,80770,80
BEAUCOURT-EN-SANTERRE,80064,80,32,161.0,593.12,80110,218000628.0,0.2714459131373078,80110,80
BEAUCOURT-SUR-L'ANCRE,80065,80,32,89.0,350.65,80300,218000636.0,0.2538143447882504,80300,80
BEAUCOURT-SUR-L'HALLUE,80066,80,32,278.0,543.29,80260,218000644.0,0.5116972519280679,80260,80
BEAUFORT-EN-SANTERRE,80067,80,32,193.0,459.69,80170,218000651.0,0.4198481585416259,80170,80
BEAUMETZ,80068,80,32,215.0,618.13,80370,218000669.0,0.3478232734214486,80370,80
BEAUMONT-HAMEL,80069,80,32,200.0,836.29,80300,218000677.0,0.2391514905116646,80300,80
BEAUQUESNE,80070,80,32,1352.0,2018.12,80600,218000685.0,0.6699304303014687,80600,80
BEAUVAL,80071,80,32,1929.0,2286.33,80630,218000693.0,0.8437102255579904,80630,80
BÉCORDEL-BÉCOURT,80073,80,32,153.0,357.78,80300,218000701.0,0.4276370954217676,80300,80
