nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ALENÇON,61001,61,28,25490.0,1079.1,61000,216100016.0,23.621536465573165,61000,61
ALMENÊCHES,61002,61,28,638.0,2037.26,61570,216100024.0,0.3131657225881821,61570,61
APPENAI-SOUS-BELLÊME,61005,61,28,275.0,1091.5,61130,216100057.0,0.2519468621163536,61130,61
ARGENTAN,61006,61,28,13527.0,1841.76,61200,216100065.0,7.34460516028147,61200,61
ATHIS-VAL DE ROUVRE,61007,61,28,4201.0,7775.88,6110061430,200058642.0,0.5402603949649428,6110061430,611
AUBE,61008,61,28,1254.0,572.92,61270,216100081.0,2.1887872652377296,61270,61
AUBRY-LE-PANTHOU,61010,61,28,133.0,684.64,61120,216100107.0,0.1942626781958401,61120,61
AUBUSSON,61011,61,28,391.0,393.8,61100,216100115.0,0.9928897917724732,61100,61
AUGUAISE,61012,61,28,196.0,221.11,61270,216100123.0,0.8864366152593731,61270,61
AUNAY-LES-BOIS,61013,61,28,138.0,856.22,61500,216100131.0,0.1611735301674803,61500,61
AUNOU-LE-FAUCON,61014,61,28,246.0,676.1,61200,216100149.0,0.3638515012572104,61200,61
AUNOU-SUR-ORNE,61015,61,28,283.0,1819.69,61500,216100156.0,0.1555209953343701,61500,61
AVERNES-SAINT-GOURGON,61018,61,28,71.0,1213.55,61470,216100180.0,0.0585060360100531,61470,61
AVOINE,61020,61,28,219.0,952.94,61150,216100206.0,0.2298150985371586,61150,61
AVRILLY,61021,61,28,92.0,550.71,61700,216100214.0,0.1670570717800657,61700,61
BAILLEUL,61023,61,28,609.0,1691.02,61160,216100230.0,0.3601376683894927,61160,61
BANVOU,61024,61,28,630.0,1299.64,61450,216100248.0,0.4847496229725154,61450,61
BARVILLE,61026,61,28,193.0,760.64,61170,216100263.0,0.253733697938578,61170,61
BAZOCHES-AU-HOULME,61028,61,28,449.0,2893.79,61210,216100289.0,0.1551598422829576,61210,61
BAZOCHES-SUR-HOËNE,61029,61,28,827.0,2151.72,61560,216100297.0,0.3843436878404254,61560,61
LA BAZOQUE,61030,61,28,269.0,268.93,61100,216100305.0,1.0002602907819875,61100,61
BEAUFAI,61032,61,28,314.0,1297.54,61270,216100321.0,0.2419963931747769,61270,61
BEAULIEU,61034,61,28,212.0,1807.88,61190,216100347.0,0.1172644202048808,61190,61
BEAUVAIN,61035,61,28,258.0,1272.36,61600,216100354.0,0.2027728001509007,61600,61
BELFONDS,61036,61,28,212.0,1426.33,61500,216100362.0,0.1486332054994286,61500,61
BELLAVILLIERS,61037,61,28,142.0,1587.25,61360,216100370.0,0.0894629075444952,61360,61
BELLÊME,61038,61,28,1457.0,172.11,61130,216100388.0,8.4655162396142,61130,61
LA BELLIÈRE,61039,61,28,125.0,1375.31,61570,216100396.0,0.0908885996611673,61570,61
BELLOU-EN-HOULME,61040,61,28,1024.0,3899.86,61220,216100404.0,0.2625735282805023,61220,61
BELLOU-LE-TRICHARD,61041,61,28,195.0,968.34,61130,216100412.0,0.2013755499101555,61130,61
BERD'HUIS,61043,61,28,1097.0,1146.52,61340,216100438.0,0.9568084289851028,61340,61
BERJOU,61044,61,28,417.0,894.42,61430,216100446.0,0.4662239216475481,61430,61
BIZOU,61046,61,28,142.0,917.03,61290,216100461.0,0.1548477149057282,61290,61
BOËCÉ,61048,61,28,125.0,240.12,61560,216100487.0,0.5205730468099283,61560,61
BOISSEI-LA-LANDE,61049,61,28,108.0,718.36,61570,216100495.0,0.1503424466841138,61570,61
COUR-MAUGIS SUR HUISNE,61050,61,28,583.0,4734.0,6111061340,200059236.0,0.1231516687790452,6111061340,611
BOITRON,61051,61,28,349.0,1351.03,61500,216100511.0,0.2583214288357771,61500,61
BONNEFOI,61052,61,28,187.0,546.32,61270,216100529.0,0.3422902328305754,61270,61
BONSMOULINS,61053,61,28,232.0,760.01,61380,216100537.0,0.3052591413270878,61380,61
LE BOSC-RENOULT,61054,61,28,262.0,1284.44,61470,216100545.0,0.2039799445672822,61470,61
BOUCÉ,61055,61,28,570.0,2040.88,61570,216100552.0,0.2792912861118733,61570,61
LE BOUILLON,61056,61,28,167.0,1790.57,61500,216100560.0,0.0932663900322243,61500,61
BRETHEL,61060,61,28,133.0,301.26,61270,216100602.0,0.4414791210250282,61270,61
BRETONCELLES,61061,61,28,1455.0,4039.73,61110,216100610.0,0.3601725857916247,61110,61
BRIEUX,61062,61,28,88.0,519.62,61160,216100628.0,0.169354528309149,61160,61
BRIOUZE,61063,61,28,1512.0,1723.34,61220,216100636.0,0.8773660450056286,61220,61
BRULLEMAIL,61064,61,28,90.0,1045.2,61390,216100644.0,0.0861079219288174,61390,61
BURÉ,61066,61,28,98.0,577.56,61170,216100669.0,0.1696793406745619,61170,61
BURES,61067,61,28,166.0,960.18,61170,216100677.0,0.1728842508696286,61170,61
BURSARD,61068,61,28,199.0,1067.6,61500,216100685.0,0.186399400524541,61500,61
CAHAN,61069,61,28,161.0,591.38,61430,216100693.0,0.2722445804727924,61430,61
CALIGNY,61070,61,28,845.0,1517.45,61100,216100701.0,0.5568552505848627,61100,61
CAMEMBERT,61071,61,28,168.0,1025.9,61120,216100719.0,0.1637586509406374,61120,61
CANAPVILLE,61072,61,28,226.0,819.84,61120,216100727.0,0.275663544106167,61120,61
CARROUGES,61074,61,28,623.0,852.08,61320,216100743.0,0.7311520045066191,61320,61
CEAUCÉ,61075,61,28,1165.0,4166.23,61330,216100750.0,0.2796293051511799,61330,61
LE CERCUEIL,61076,61,28,145.0,1342.62,61500,216100768.0,0.10799779535535,61500,61
CERISÉ,61077,61,28,844.0,443.31,61000,216100776.0,1.9038596016331688,61000,61
CERISY-BELLE-ÉTOILE,61078,61,28,693.0,1343.53,61100,216100784.0,0.5158053783689237,61100,61
CETON,61079,61,28,1734.0,5988.1,61260,216100792.0,0.2895743224061054,61260,61
CHAHAINS,61080,61,28,81.0,758.93,61320,216100800.0,0.1067292108626619,61320,61
CHAILLOUÉ,61081,61,28,890.0,3585.84,6124061500,200059178.0,0.2481984695357294,6124061500,612
LE CHALANGE,61082,61,28,86.0,635.45,61390,216100826.0,0.1353371626406483,61390,61
CHAMPCERIE,61084,61,28,177.0,900.71,61210,216100842.0,0.196511640816689,61210,61
LE CHAMP-DE-LA-PIERRE,61085,61,28,28.0,412.06,61320,216100859.0,0.067951269232636,61320,61
LES CHAMPEAUX,61086,61,28,96.0,967.81,61120,216100867.0,0.0991930234240191,61120,61
CHAMPEAUX-SUR-SARTHE,61087,61,28,159.0,946.24,61560,216100875.0,0.1680334798782549,61560,61
CHAMP-HAUT,61088,61,28,41.0,512.93,61240,216100883.0,0.079932934318523,61240,61
CHAMPOSOULT,61089,61,28,105.0,707.77,61120,216100891.0,0.1483532786074572,61120,61
CHAMPSECRET,61091,61,28,963.0,4510.94,61700,216100917.0,0.2134810039592635,61700,61
CHANDAI,61092,61,28,672.0,1382.2,61300,216100925.0,0.486181449862538,61300,61
CHANU,61093,61,28,1243.0,1568.56,61800,216100933.0,0.7924465752027338,61800,61
LA CHAPELLE-AU-MOINE,61094,61,28,586.0,543.59,61100,216100941.0,1.078018359425302,61100,61
LA CHAPELLE-BICHE,61095,61,28,525.0,647.86,61100,216100958.0,0.8103602630197883,61100,61
RIVES D'ANDAINE,61096,61,28,2844.0,3744.42,6114061410,200058667.0,0.7595301809091929,6114061410,611
LA CHAPELLE-MONTLIGEON,61097,61,28,509.0,844.42,61400,216100974.0,0.6027806068070392,61400,61
