nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ABERGEMENT-LA-RONCE,39001,39,27,827.0,711.15,39500,213900012.0,1.1629051536244113,39500,39
ABERGEMENT-LE-GRAND,39002,39,27,61.0,419.28,39600,213900020.0,0.145487502385041,39600,39
ABERGEMENT-LE-PETIT,39003,39,27,46.0,159.17,39800,213900038.0,0.2889991832631777,39800,39
ABERGEMENT-LÈS-THÉSY,39004,39,27,46.0,461.7,39110,213900046.0,0.0996317955382282,39110,39
AIGLEPIERRE,39006,39,27,412.0,710.67,39110,213900061.0,0.579734616629378,39110,39
ALIÈZE,39007,39,27,149.0,582.11,39270,213900079.0,0.2559653673704282,39270,39
AMANGE,39008,39,27,428.0,675.48,39700,213900087.0,0.6336234973648368,39700,39
ANDELOT-EN-MONTAGNE,39009,39,27,574.0,1262.99,39110,213900095.0,0.4544770742444516,39110,39
ANDELOT-MORVAL,39010,39,27,90.0,1032.71,39320,213900103.0,0.0871493449274239,39320,39
ANNOIRE,39011,39,27,423.0,1564.57,39120,213900111.0,0.2703618246546975,39120,39
ARBOIS,39013,39,27,3114.0,4556.94,39600,213900137.0,0.6833533028742973,39600,39
ARCHELANGE,39014,39,27,219.0,495.65,39290,213900145.0,0.441844043175628,39290,39
ARDON,39015,39,27,109.0,514.1,39300,213900152.0,0.2120210075860727,39300,39
ARINTHOD,39016,39,27,1149.0,2739.62,39240,200077253.0,0.419401230827633,39240,39
ARLAY,39017,39,27,1182.0,2028.63,3914039210,200055135.0,0.5826592330784816,3914039210,391
AROMAS,39018,39,27,580.0,2611.1,39240,200071348.0,0.2221286048025736,39240,39
LES ARSURES,39019,39,27,229.0,449.24,39600,213900194.0,0.5097497996616508,39600,39
ARSURE-ARSURETTE,39020,39,27,100.0,1270.66,39250,213900202.0,0.0786992586529834,39250,39
LA CHAILLEUSE,39021,39,27,587.0,2490.83,3927039570,200055150.0,0.2356644170818562,3927039570,392
ASNANS-BEAUVOISIN,39022,39,27,713.0,1638.41,39120,213900228.0,0.4351780079467288,39120,39
AUDELANGE,39024,39,27,256.0,467.28,39700,213900244.0,0.5478513953090225,39700,39
AUGEA,39025,39,27,285.0,761.34,39190,213900251.0,0.3743399795098116,39190,39
AUGERANS,39026,39,27,188.0,805.13,39380,213900269.0,0.2335026641660353,39380,39
AUGISEY,39027,39,27,191.0,931.82,39270,213900277.0,0.2049752098044686,39270,39
AUMONT,39028,39,27,447.0,815.91,39800,213900285.0,0.5478545427804538,39800,39
AUMUR,39029,39,27,393.0,916.22,39410,213900293.0,0.4289362816790727,39410,39
AUTHUME,39030,39,27,906.0,759.57,39100,213900301.0,1.1927801255973771,39100,39
AUXANGE,39031,39,27,198.0,515.86,39700,213900319.0,0.3838250688171209,39700,39
AVIGNON-LÈS-SAINT-CLAUDE,39032,39,27,348.0,774.78,39200,213900327.0,0.4491597614806784,39200,39
BALAISEAUX,39034,39,27,291.0,604.18,39120,213900343.0,0.4816445430169817,39120,39
BALANOD,39035,39,27,323.0,490.2,39160,213900350.0,0.6589147286821706,39160,39
BANS,39037,39,27,174.0,412.61,39380,213900376.0,0.4217057269576598,39380,39
BARÉSIA-SUR-L'AIN,39038,39,27,163.0,1110.19,39130,213900384.0,0.1468217152019023,39130,39
LA BARRE,39039,39,27,236.0,330.51,39700,213900392.0,0.7140479864451907,39700,39
BARRETAINE,39040,39,27,199.0,921.51,39800,213900400.0,0.2159499083026771,39800,39
BAUME-LES-MESSIEURS,39041,39,27,160.0,1320.05,3921039570,213900418.0,0.1212075300178023,3921039570,392
BAVERANS,39042,39,27,498.0,340.14,39100,213900426.0,1.4641030164050095,39100,39
BEAUFORT-ORBAGNA,39043,39,27,1481.0,1732.8,39190,200086361.0,0.8546860572483841,39190,39
BEFFIA,39045,39,27,86.0,519.82,39270,213900459.0,0.165441883728983,39270,39
BELLECOMBE,39046,39,27,73.0,1226.49,39310,213900467.0,0.0595194416587171,39310,39
BELLEFONTAINE,39047,39,27,494.0,2438.78,39400,213900475.0,0.2025602965417134,39400,39
BELMONT,39048,39,27,258.0,1602.09,39380,213900483.0,0.1610396419676797,39380,39
BERSAILLIN,39049,39,27,396.0,1406.58,39800,213900491.0,0.2815339333703024,39800,39
BESAIN,39050,39,27,159.0,1302.79,39800,213900509.0,0.1220457633233291,39800,39
BIARNE,39051,39,27,433.0,624.44,39290,213900517.0,0.6934213054897187,39290,39
BIEF-DES-MAISONS,39052,39,27,78.0,580.37,39150,213900525.0,0.134397022589038,39150,39
BIEF-DU-FOURG,39053,39,27,218.0,1013.22,39250,213900533.0,0.2151556424073745,39250,39
BIEFMORIN,39054,39,27,91.0,1133.68,39800,213900541.0,0.0802695646037682,39800,39
BILLECUL,39055,39,27,60.0,435.28,39250,213900558.0,0.1378423083991913,39250,39
