nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
ALLONNES,49002,49,52,2911.0,3658.44,49650,214900029.0,0.7956943396639005,49650,49
TUFFALUN,49003,49,52,1746.0,3961.96,49700,200058949.0,0.4406909711354986,49700,49
ANGERS,49007,49,52,159022.0,4449.42,4900049100,214900078.0,35.73993913813486,4900049100,490
ANGRIE,49008,49,52,913.0,4103.45,49440,214900086.0,0.2224957048337374,49440,49
ANTOIGNÉ,49009,49,52,441.0,1784.68,49260,214900094.0,0.2471031221283367,49260,49
ARMAILLÉ,49010,49,52,320.0,1689.26,49420,214900102.0,0.1894320590080863,49420,49
ARTANNES-SUR-THOUET,49011,49,52,405.0,669.98,49260,214900110.0,0.6044956565867637,49260,49
AUBIGNÉ-SUR-LAYON,49012,49,52,347.0,534.19,49540,214900128.0,0.6495816095396768,49540,49
AVRILLÉ,49015,49,52,15251.0,1598.86,49240,214900151.0,9.538671303303603,49240,49
BARACÉ,49017,49,52,636.0,1348.02,49430,214900177.0,0.471803088974941,49430,49
BAUGÉ-EN-ANJOU,49018,49,52,11712.0,27048.57,49150,200052702.0,0.432998860937935,49150,49
BEAUCOUZÉ,49020,49,52,5732.0,1795.04,49070,214900201.0,3.1932436045993406,49070,49
BEAUFORT-EN-ANJOU,49021,49,52,6901.0,4220.49,49250,200058899.0,1.6351181971761573,49250,49
BEAULIEU-SUR-LAYON,49022,49,52,1345.0,1286.13,49750,214900227.0,1.0457729778482734,49750,49
BEAUPRÉAU-EN-MAUGES,49023,49,52,23989.0,23214.58,49110494504951049600,200053619.0,1.0333592078771183,49110494504951049600,491
BÉCON-LES-GRANITS,49026,49,52,2811.0,4678.1,49370,214900268.0,0.6008849746692032,49370,49
BÉGROLLES-EN-MAUGES,49027,49,52,2110.0,1470.87,49122,214900276.0,1.4345251449822216,49122,49
BÉHUARD,49028,49,52,115.0,224.35,49170,214900284.0,0.5125919322487186,49170,49
BLAISON-SAINT-SULPICE,49029,49,52,1337.0,2414.91,49320,200056265.0,0.553643821094782,49320,49
BLOU,49030,49,52,929.0,2160.15,49160,214900300.0,0.4300627271254311,49160,49
BOUCHEMAINE,49035,49,52,6580.0,2061.96,49080,214900359.0,3.1911385283904634,49080,49
BOUILLÉ-MÉNARD,49036,49,52,785.0,1590.44,49520,214900367.0,0.4935741052790423,49520,49
BOURG-L'ÉVÊQUE,49038,49,52,236.0,534.1,49520,214900383.0,0.4418648193222242,49520,49
BRAIN-SUR-ALLONNES,49041,49,52,2056.0,3355.98,49650,214900417.0,0.6126377391998761,49650,49
LA BREILLE-LES-PINS,49045,49,52,624.0,2788.33,49390,214900458.0,0.2237898670530389,49390,49
BRIOLLAY,49048,49,52,3225.0,1447.18,49125,214900482.0,2.228471924708744,49125,49
BRISSAC LOIRE AUBANCE,49050,49,52,10878.0,12223.53,4925049320,200064582.0,0.8899229600614552,4925049320,492
BROSSAY,49053,49,52,340.0,483.64,49700,214900532.0,0.7030022330659168,49700,49
CANDÉ,49054,49,52,2801.0,518.23,49440,214900540.0,5.404936032263667,49440,49
CANTENAY-ÉPINARD,49055,49,52,2415.0,1658.18,49460,214900557.0,1.4564160706316562,49460,49
CARBAY,49056,49,52,277.0,773.11,49420,214900565.0,0.3582931277567228,49420,49
